German,English
Teil,part
Geschichte,history
suchen,search
nur,only
Polizei,police
dachte,thought
Hilfe,help
Anfrage,request
Art,kind
Monat,month
Bruder,brother
lassen,let
weil,because
setzen,to put
kein,no
Leine,leash
sie,them
Stadt,city
jeder,each
sprechen,speak
kommen,come
sollte,should
Baby,baby
lange Zeit,long time
Stunden,hours
werden,will
während,while
wiedersehen,meet again
irgendein,any
Platz,square
spricht,speak
verstanden,understood
wusste,knew
waren,were
Achtung,Warning
hier ist,here is
könnte,could
Fall,case
geben,give
Typ,type
ihr,their
gegeben,given
Zug,train
Körper,body
Ort,place
Augen,eyes
Weise,way
hör zu,listen
dessen,whose
finden,find
erste,first
verloren,lost
Hand,hand
Seite,side
Macht,power
alt,old
sei,be
hier,here
Morgen,morning
so sehr,so much
Kind,child
Punkt,point
kam,came
danach,after
Entschuldigung,sorry
kommt,come
vor,in front of
zu,towards
Minuten,minutes
gefragt,request
Zimmer,bedroom
gesetzt,placed
schön,beautiful
Gesetz,law
möchte gern,would like to
heute,today
Ehemann,husband
Ursache,cause
endlich,finally
hoffen,hope
Wasser,water
Wartet,Wait
gegangen,left
neu,new
Arbeit,job
Stopp,Stop
würde sagen,would say
Erde,Earth
Konto,account
weit,far
Ende,end
glauben,believe
Liebling,sweetheart
groß,large
eher,rather
wird haben,will have
Mädchen,girls
spielen,to play
Büro,office
